id,municipality,court_id
1,"Ballwin",21
2,"Bella Villa",6
3,"Bellefontaine Neighbors",70
4,"Bel-Nor",56
5,"Bel-Ridge",61
6,"Berkeley 1",72
7,"Berkeley 2",73
8,"Beverly Hills",51
9,"Black Jack",80
10,"Breckenridge Hills",63
11,"Brentwood",27
12,"Bridgeton",76
13,"Calverton Park",77
14,"Charlack",49
15,"Chesterfield",36
16,"Clarkson Valley",24
17,"Clayton",34
18,"Cool Valley",55
19,"Country Club Hills",64
20,"Crestwood",10
21,"Creve Coeur",35
22,"Dellwood",74
23,"Des Peres",23
24,"Edmundson",67
25,"Ellisville",18
26,"Eureka",2
27,"Fenton",4
28,"Ferguson",71
29,"Flordell Hills",62
30,"Florissant",81
31,"Frontenac",31
32,"Glendale",16
33,"Grantwood Village",8
34,"Greendale",54
35,"Hanley Hills",41
36,"Hazelwood",79
37,"Hillsdale",43
38,"Jennings",58
39,"Kinloch",68
40,"Kirkwood",12
41,"Ladue",32
42,"Lakeshire",5
43,"Mackenzie",19
44,"Manchester",20
45,"Maplewood",26
46,"Marlborough",11
47,"Maryland Heights",60
48,"Moline Acres",75
49,"Normandy",54
50,"Northwoods",53
51,"Oakland",14
52,"Olivette",38
53,"Overland",50
54,"Pacific",1
55,"Pagedale",40
56,"Pasadena Hills",52
57,"Pasadena Park",57
58,"Pine Lawn",45
59,"Richmond Heights",29
60,"Riverview",69
61,"Rock Hill",25
62,"Shrewsbury",19
63,"St. Ann",66
64,"St. John",59
65,"Sunset Hills",7
66,"Sycamore Hills",59
67,"Town and Country",30
68,"University City",37
69,"Uplands Park",47
70,"Valley Park",9
71,"Velda City",44
72,"Velda Village Hills",46
73,"Vinita Park",48
74,"Vinita Terrace",42
75,"Warson Woods",22
76,"Webster Groves",15
77,"Wellston",39
78,"Wildwood",13
79,"Winchester",17
80,"Woodson Terrace",65
81,"Unincorporated Central St. Louis County",33
82,"Unincorporated West St. Louis County",28
83,"Unincorporated North St. Louis County",78
84,"Unincorporated South St. Louis County",3
